WARNING 2024-06-11 10:53:03,956 "GET /session/list/vendor/chartjs/Chart.bundle.min.js HTTP/1.1" 404 9467
WARNING 2024-06-11 10:53:04,157 Not Found: /session/list/vendor/select2/select2.min.js
WARNING 2024-06-11 10:53:04,159 "GET /session/list/vendor/select2/select2.min.js HTTP/1.1" 404 9452
WARNING 2024-06-11 10:53:04,427 Not Found: /session/list/vendor/vector-map/jquery.vmap.js
WARNING 2024-06-11 10:53:04,430 "GET /session/list/vendor/vector-map/jquery.vmap.js HTTP/1.1" 404 9461
WARNING 2024-06-11 10:53:04,735 Not Found: /session/list/vendor/vector-map/jquery.vmap.min.js
WARNING 2024-06-11 10:53:04,736 "GET /session/list/vendor/vector-map/jquery.vmap.min.js HTTP/1.1" 404 9473
WARNING 2024-06-11 10:53:04,955 Not Found: /session/list/vendor/vector-map/jquery.vmap.sampledata.js
WARNING 2024-06-11 10:53:04,956 "GET /session/list/vendor/vector-map/jquery.vmap.sampledata.js HTTP/1.1" 404 9494
WARNING 2024-06-11 10:53:05,247 Not Found: /session/list/vendor/vector-map/jquery.vmap.world.js
WARNING 2024-06-11 10:53:05,248 "GET /session/list/vendor/vector-map/jquery.vmap.world.js HTTP/1.1" 404 9479
WARNING 2024-06-11 10:53:05,554 Not Found: /session/list/js/main.js
WARNING 2024-06-11 10:53:05,555 "GET /session/list/js/main.js HTTP/1.1" 404 9395
INFO 2024-06-11 10:53:17,078 "GET /course/list/ HTTP/1.1" 200 16492
WARNING 2024-06-11 10:53:17,144 "GET /static/select2/css/select2.min.css HTTP/1.1" 404 1840
WARNING 2024-06-11 10:53:17,153 "GET /static/select2/js/select2.min.js HTTP/1.1" 404 1834
WARNING 2024-06-11 10:53:18,583 Not Found: /course/list/vendor/wow/wow.min.js
WARNING 2024-06-11 10:53:18,584 "GET /course/list/vendor/wow/wow.min.js HTTP/1.1" 404 9425
WARNING 2024-06-11 10:53:18,806 Not Found: /course/list/vendor/slick/slick.min.js
WARNING 2024-06-11 10:53:18,809 "GET /course/list/vendor/slick/slick.min.js HTTP/1.1" 404 9437
WARNING 2024-06-11 10:53:19,082 Not Found: /course/list/vendor/bootstrap-4.1/bootstrap.min.js
WARNING 2024-06-11 10:53:19,107 "GET /course/list/vendor/bootstrap-4.1/bootstrap.min.js HTTP/1.1" 404 9473
WARNING 2024-06-11 10:53:19,299 Not Found: /course/list/vendor/bootstrap-4.1/popper.min.js
WARNING 2024-06-11 10:53:19,300 "GET /course/list/vendor/bootstrap-4.1/popper.min.js HTTP/1.1" 404 9464
WARNING 2024-06-11 10:53:20,044 Not Found: /course/list/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js
WARNING 2024-06-11 10:53:20,044 "GET /course/list/vendor/bootstrap-progressbar/bootstrap-progressbar.min.js HTTP/1.1" 404 9533
WARNING 2024-06-11 10:53:20,301 Not Found: /course/list/vendor/animsition/animsition.min.js
WARNING 2024-06-11 10:53:20,302 "GET /course/list/vendor/animsition/animsition.min.js HTTP/1.1" 404 9467
WARNING 2024-06-11 10:53:20,610 Not Found: /course/list/vendor/counter-up/jquery.waypoints.min.js
WARNING 2024-06-11 10:53:20,618 "GET /course/list/vendor/counter-up/jquery.waypoints.min.js HTTP/1.1" 404 9485
WARNING 2024-06-11 10:53:20,837 Not Found: /course/list/vendor/counter-up/jquery.counterup.min.js
WARNING 2024-06-11 10:53:20,851 "GET /course/list/vendor/counter-up/jquery.counterup.min.js HTTP/1.1" 404 9485
WARNING 2024-06-11 10:53:21,121 Not Found: /course/list/vendor/circle-progress/circle-progress.min.js
WARNING 2024-06-11 10:53:21,131 "GET /course/list/vendor/circle-progress/circle-progress.min.js HTTP/1.1" 404 9497
WARNING 2024-06-11 10:53:21,437 Not Found: /course/list/vendor/perfect-scrollbar/perfect-scrollbar.js
WARNING 2024-06-11 10:53:21,437 "GET /course/list/vendor/perfect-scrollbar/perfect-scrollbar.js HTTP/1.1" 404 9497
WARNING 2024-06-11 10:53:21,728 Not Found: /course/list/vendor/chartjs/Chart.bundle.min.js
WARNING 2024-06-11 10:53:21,746 "GET /course/list/vendor/chartjs/Chart.bundle.min.js HTTP/1.1" 404 9464
WARNING 2024-06-11 10:53:21,953 Not Found: /course/list/vendor/select2/select2.min.js
WARNING 2024-06-11 10:53:21,955 "GET /course/list/vendor/select2/select2.min.js HTTP/1.1" 404 9449
WARNING 2024-06-11 10:53:22,245 Not Found: /course/list/vendor/vector-map/jquery.vmap.js
WARNING 2024-06-11 10:53:22,248 "GET /course/list/vendor/vector-map/jquery.vmap.js HTTP/1.1" 404 9458
WARNING 2024-06-11 10:53:22,459 Not Found: /course/list/vendor/vector-map/jquery.vmap.min.js
WARNING 2024-06-11 10:53:22,459 "GET /course/list/vendor/vector-map/jquery.vmap.min.js HTTP/1.1" 404 9470
WARNING 2024-06-11 10:53:22,760 Not Found: /course/list/vendor/vector-map/jquery.vmap.sampledata.js
WARNING 2024-06-11 10:53:22,760 "GET /course/list/vendor/vector-map/jquery.vmap.sampledata.js HTTP/1.1" 404 9491
WARNING 2024-06-11 10:53:22,974 Not Found: /course/list/vendor/vector-map/jquery.vmap.world.js
WARNING 2024-06-11 10:53:22,975 "GET /course/list/vendor/vector-map/jquery.vmap.world.js HTTP/1.1" 404 9476
WARNING 2024-06-11 10:53:23,191 Not Found: /course/list/js/main.js
WARNING 2024-06-11 10:53:23,192 "GET /course/list/js/main.js HTTP/1.1" 404 9392
INFO 2024-06-11 10:56:44,745 /home/lanlokun/Desktop/smahs/apps/corecode/models.py changed, reloading.
INFO 2024-06-11 10:56:44,976 Watching for file changes with StatReloader
INFO 2024-06-11 10:56:51,157 /home/lanlokun/Desktop/smahs/apps/corecode/models.py changed, reloading.
INFO 2024-06-11 10:56:51,402 Watching for file changes with StatReloader
INFO 2024-06-11 10:57:10,611 "GET /course/list/ HTTP/1.1" 200 17642
WARNING 2024-06-11 10:57:10,698 "GET /static/select2/js/select2.min.js HTTP/1.1" 404 1834
WARNING 2024-06-11 10:57:10,699 "GET /static/select2/css/select2.min.css HTTP/1.1" 404 1840
WARNING 2024-06-11 10:57:13,263 Not Found: /course/list/vendor/bootstrap-4.1/bootstrap.min.js
WARNING 2024-06-11 10:57:13,265 "GET /course/list/vendor/bootstrap-4.1/bootstrap.min.js HTTP/1.1" 404 9473
WARNING 2024-06-11 10:57:13,571 Not Found: /course/list/vendor/animsition/animsition.min.js
WARNING 2024-06-11 10:57:13,575 "GET /course/list/vendor/animsition/animsition.min.js HTTP/1.1" 404 9467
