INFO 2023-06-19 12:19:31,536 "GET /static/plugins/Datatables/datatables.min.css HTTP/1.1" 304 0
INFO 2023-06-19 12:19:31,537 "GET /static/plugins/toastr/toastr.min.js HTTP/1.1" 304 0
INFO 2023-06-19 12:19:31,538 "GET /static/dist/js/adminlte.js HTTP/1.1" 304 0
INFO 2023-06-19 12:19:31,544 "GET /static/plugins/overlayScrollbars/js/jquery.overlayScrollbars.min.js HTTP/1.1" 304 0
INFO 2023-06-19 12:19:31,551 "GET /static/dist/js/demo.js HTTP/1.1" 304 0
INFO 2023-06-19 12:19:31,618 "GET /static/plugins/fontawesome-free/webfonts/fa-regular-400.woff2 HTTP/1.1" 304 0
INFO 2023-06-19 12:19:31,618 "GET /static/plugins/fontawesome-free/webfonts/fa-solid-900.woff2 HTTP/1.1" 304 0
INFO 2023-06-19 12:19:39,380 "GET /staff/list/ HTTP/1.1" 200 9687
INFO 2023-06-19 12:19:40,490 "GET /student/list HTTP/1.1" 200 9946
INFO 2023-06-19 12:19:41,993 "GET /finance/list/ HTTP/1.1" 200 9925
INFO 2023-06-19 12:19:42,732 "GET /result/create/ HTTP/1.1" 200 10386
